,Name of company,Phone Number,Location,Website Link,Email
0,Ohana Business Solutions,(808) 245-1965,NaN,ohanabizsolutions.com,NaN
1,"Jung Hoon Ji, CPA",(808) 909-3338,"1441 Kapiolani Blvd SUITE 716, Honolulu, HI 96814",junghoonjicpa.com,NaN
2,E.A. Buck Accounting & Tax Services,(808) 395-5492,"850 W Hind Dr #102, Honolulu, HI 96821",eabucktaxes.com,NaN
3,Equations Hawaii Inc,(808) 936-2112,"78-6831 Alii Dr, #E-234 Office # 207, Kailua-Kona, HI 96740",equationshawaii.com,equationshawaii@gmail.com
4,Taxes R Us,(808) 676-5538,"94674 Farrington Hwy, Waipahu, HI 96797",NaN,NaN
5,Shea & Co,(808) 949-4209,"1585 Kapiolani Blvd # 1240, Honolulu, HI 96814",NaN,NaN
6,Jackson Hewitt Tax Service,(808) 824-3386,"1270 N King St, Honolulu, HI 96817",office.jacksonhewitt.com,NaN
7,Precision Accounting Hawaii,(808) 372-6108,"1050 Queen St Suite 100, Honolulu, HI 96814",NaN,NaN
8,Hawaii Accountants,(808) 670-3520,NaN,hiaccountants.com,NaN
9,Premier Tax Service,(808) 383-3638,"941 River St, Honolulu, HI 96817",premiertaxservice808.com,NaN
10,Akamai Tax Services,(808) 259-8580,"41-1537 Kalanianaʻole Hwy, Waimanalo, HI 96795",NaN,NaN
11,Maui.tax,(808) 344-6497,"585 Iao Valley Rd, Wailuku, HI 96793",maui.tax,markwendelllee@gmail.com
12,Manoa Tax Services (Best Tax Service),(808) 234-4824,"438 Hobron Ln, Honolulu, HI 96815",manoatax.business.site,NaN
13,Accounting Plus,(808) 883-9821,"68-3840 Lua Kula St # 3, Waikoloa Village, HI 96738",NaN,NaN
14,"Jay Kang CPA, Inc",(808) 941-9205,"725 Kapiolani Blvd # C110, Honolulu, HI 96813",jaykangcpainc.com,NaN
15,H&R Block,(808) 947-4607,"1415 Kapiolani Blvd, Honolulu, HI 96814",hrblock.com,NaN
16,KJC Tax Preparation and Bookkeeping,(808) 341-9012,NaN,kjctax.com,NaN
17,Aloha General Services,(808) 732-2201,"3301 Campbell Ave, Honolulu, HI 96815",NaN,NaN
18,Tax Consultants,(808) 841-7691,"2119 N King St, Honolulu, HI 96819",taxconsultants-hi.com,NaN
19,Tony Lim CPA LLC,(808) 554-7970,"1003 Bishop St #2225, Honolulu, HI 96813",tlimcpa.com,NaN
20,Jackson Hewitt Tax Service,(808) 824-3385,"700 Ke’eaumoku St, Honolulu, HI 96814",office.jacksonhewitt.com,NaN
21,JKL Bookkeeping Tax Unlimited LLC,(808) 261-5005,"200 N Vineyard Blvd B260, Honolulu, HI 96817",jklbooktax.com,NaN
22,"Felice Valmas, CPA & Co. LLC",(808) 536-8000,"401 Kamakee St, Honolulu, HI 96814",felicecpa.com,felice@felicecpa.com
23,Block Advisors,(808) 329-2822,"75-5759 Kuakini Hwy Ste 101, Kailua-Kona, HI 96740",blockadvisors.com,NaN
24,Tamilyn E Masuda Inc,(808) 847-4422,"1414 Dillingham Blvd # 201, Honolulu, HI 96817",tmasudacpa.com,NaN
25,H&R Block,(808) 487-8531,"98-019 Kamehameha Hwy Ste 214A, Aiea, HI 96701",hrblock.com,NaN
26,M Oshima LLC,(808) 923-8677,"307 Lewers St Suite #702, Honolulu, HI 96815",NaN,NaN
27,Legacy Tax Group A CPA Corporation,(808) 533-2272,"1088 Bishop St STE 508, Honolulu, HI 96813",legacytaxgroup.com,NaN
28,Carbonaro CPA's & Management Group,(808) 242-5002,"1437 Kilauea Ave Suite 104, Hilo, HI 96720",carbocpa.com,janice@carbocpa.com?subject=Inquiry - CPA Services
29,Chase Accounting Firm,(929) 300-7003,"401 Kamakee St, Honolulu, HI 96814",NaN,NaN
30,Kamuela Tax Pros,(808) 881-1040,"64-1040 Hawaiʻi Belt Rd, Waimea, HI 96743",kamuelataxpros.com,NaN
31,Pacific Financial Navigators LLC,(808) 942-8817,"1585 Kapiolani Blvd # 1604, Honolulu, HI 96814",pfnhawaii.com,NaN
32,"IMS, Inc.",(808) 247-0676,"46-5 Kawa St, Kaneohe, HI 96744",ims-hawaii.com,NaN
33,"Hanson & Associates, PC",(970) 744-0237,"609 Keawe St, Honolulu, HI 96813",NaN,NaN
34,HARPTA Help LLC,(808) 737-4412,"1950 Young St Suite 480, Honolulu, HI 96826",harpta.com,info@harpta.com
35,Reliable Tax Services,(808) 596-8167,"1251 S King St # A, Honolulu, HI 96814",NaN,NaN
36,Hawaii Tax Services LLC,(808) 388-4073,"650 Iwilei Rd Suite 201-B, Honolulu, HI 96817",business.site,NaN
37,"CW Associates, CPAs",(808) 531-1040,"700 Bishop St # 1040, Honolulu, HI 96813",cwassociatescpas.com,NaN
38,Tax Strategies,(808) 735-9004,"4747 Kilauea Ave, Honolulu, HI 96816",tastra.com,sarah.fucito@tastra.com
39,RP TAX SERVICE,(808) 946-7297,"930 McCully St #203, Honolulu, HI 96826",rptaxes.com,NaN
40,CS Accounting & Tax Services Inc.,(808) 537-5714,"1188 Bishop St STE 2105, Honolulu, HI 96813",business.site,NaN
41,"Patrick Vyas, CPA, Inc.",(808) 593-0080,"1277 S Beretania St., Honolulu, HI 96814",NaN,NaN
42,Tax Services of Hawaii Inc,(808) 529-1040,"841 Bishop St #2105, Honolulu, HI 96813",taxservicesofhawaii.com,NaN
43,Yuen & Wong Inc,(808) 847-4884,"1287 Kalani St # 201, Honolulu, HI 96817",NaN,NaN
44,"James D. Jennings, CPA",(808) 942-8813,"615 Piikoi St, Honolulu, HI 96814",jenningscpa.com,NaN
45,HI Accounting Solutions Inc,(808) 784-3752,"745 Fort St #1415, Honolulu, HI 96813",hawaiiaccountingsolutions.com,NaN
46,Aloha Business Services,(808) 329-9220,"74-5596 Pawai Pl #3e, Kailua-Kona, HI 96740",alohabusinessservices.com,contact@alohabusinessservices.com
47,Khalsa CPA Services LLC,(808) 871-8822,"135 S Wakea Ave Suite 108, Kahului, HI 96732",khalsacpaservices.com,NaN
48,Hanks Tax Service,(808) 853-1170,"1101 N King St Unit H, Honolulu, HI 96817",hankstax.com,NaN
49,Wachi & Watanabe CPA Inc,(808) 536-4444,"201 Merchant St # 2350, Honolulu, HI 96813",wachiwatanabecpa.com,NaN
50,808 TAX,(808) 591-8006,"1221 Kapiolani Blvd Suite 220, Honolulu, HI 96814",808tax.com,NaN
51,My Personal CPA and Financial Planner LLC,(808) 829-2344,"1001 Kamokila Blvd #100, Kapolei, HI 96707",mypersonalcpas.com,NaN
52,Accuity LLP,(808) 531-3400,"999 Bishop St STE 1900, Honolulu, HI 96813",accuityllp.com,NaN
53,Tax Services Oahu,(808) 744-5314,"3049 Ualena St #415, Honolulu, HI 96819",taxservicesoahu.com,NaN
54,Tax Relief Services,(808) 589-2322,"1259 S Beretania St. # 2, Honolulu, HI 96814",taxreliefservices.com,irstaxrelief@msn.com
55,Kauai Tax Consultants,(808) 212-1840,"4-1579 Kuhio Hwy #104, Kapaʻa, HI 96746",kauai.tax,NaN
56,H&R Block,(808) 262-7626,"21 Oneawa St, Kailua, HI 96734",hrblock.com,NaN
57,Ronald T. Tomasa CPA Inc.,(808) 732-9707,"1144 10th Ave #300, Honolulu, HI 96816",NaN,NaN
58,H&R Block,(808) 487-0911,"4510 Salt Lake Blvd Ste A-8, Honolulu, HI 96818",hrblock.com,NaN
59,CPA Hawaii,(808) 949-6079,"3615 Harding Ave STE 405, Honolulu, HI 96816",cpa-hi.com,NaN
60,Mark K Matsuo CPA LLC,(808) 734-2236,"3221 Waialae Ave #388, Honolulu, HI 96816",markmatsuocpa.business.site,NaN
61,Joanne's Tax & Business Services,(808) 596-8999,"1314 S King St STE 650, Honolulu, HI 96814",splinternetmarketing.com,NaN
62,"N&K CPAs, Inc.",(808) 524-2255,"999 Bishop St #2200, Honolulu, HI 96813",nkcpa.com,NaN
63,Garzon Financial Services,NaN,NaN,NaN,NaN
64,The Tax Connection,(808) 628-4270,"91-1010 Shangrila St #300, Kapolei, HI 96707",kapoleitaxconsultant.com,NaN
65,"CW Tax Services, Inc.",(808) 591-1040,"1164 Bishop St Suite 1500, Honolulu, HI 96813",splinternetmarketing.com,NaN
66,Peter Ma Tax & Accounting,(808) 524-4590,"928 Nuuanu Ave #307b, Honolulu, HI 96817",facebook.com,NaN
67,"Akamine, Oyadomari & Kosaki CPAs, Inc.",(808) 941-0500,"1601 Kapiolani Blvd Suite 1140, Honolulu, HI 96814",aokcpas.com,NaN
68,AATS LLC,(808) 543-3370,"50 S Beretania St. C-211E, Honolulu, HI 96813",NaN,NaN
69,"Accurate Affordable Accounting and Tax Service, Inc.",(808) 396-6507,"377 Keahole St # E203, Honolulu, HI 96825",lookintohawaii.com,NaN
70,Diamond Head Tax Group Individual and Business Tax Advisory Honolulu,(808) 824-3588,"1441 Kapiolani Blvd Suite 912, Honolulu, HI 96814",diamondheadtaxgroup.com,NaN
71,Pacific Business Specialists,(808) 983-1660,"1541 S Beretania St. #101, Honolulu, HI 96826",NaN,NaN
72,Block Advisors,(808) 955-0120,"1585 Kapiolani Blvd Ste 722, Honolulu, HI 96814",blockadvisors.com,NaN
73,Koida Tax & Accounting,(808) 744-4464,"220 S King St Suite 1515, Honolulu, HI 96813",koidataxandaccounting.com,
74,Dean Miyamoto Inc,(808) 973-9300,"1600 Kapiolani Blvd # 1670, Honolulu, HI 96814",dmcpainc.com,NaN
75,"B&Y CPA, LLC",(808) 781-5024,"1314 S King St Ste1164, Honolulu, HI 96814",alohacpa.net,NaN
76,Nagaue & Nagaue Inc,(808) 941-0506,"1831 Young St, Honolulu, HI 96826",NaN,NaN
77,Aloha Accounting & Tax LLC,(808) 875-9700,"151 E Wakea Ave #203, Kahului, HI 96732",alohaaccountingandtax.com,NaN
78,Rachel's Tax Services,(808) 836-0008,"2045 Kamehameha IV Rd, Honolulu, HI 96819",rachelstaxservice.com,NaN
79,Bella Tax Inc,(808) 589-0009,"1357 Kapiolani Blvd #920, Honolulu, HI 96814",bellataxhawaii.com,btax-itin@usa.so-net.jp
80,First Hawaiian Tax,(808) 871-8899,"275 W Kaahumanu Ave # B21, Kahului, HI 96732",NaN,NaN
81,Ohata Chun Yuen,(808) 735-8585,"3684 Waialae Ave, Honolulu, HI 96816",ocycpa.com,NaN
82,Tomishima & Fukuhara CPA Inc,(808) 523-7588,"1520 Liliha St # 705, Honolulu, HI 96817",tfhicpa.com,NaN
83,Liberty Tax,(808) 745-1695,"72 Kekuanaoa St Suite 330, Hilo, HI 96720",libertytax.com,NaN
84,Five-O Tax Service,(808) 961-1040,"614 Kilauea Ave #13, Hilo, HI 96720",fiveotax.com,fiveotax@gmail.com
85,H&R Block,(808) 946-4815,"2600 S King St Ste 105, Honolulu, HI 96826",hrblock.com,NaN
86,"Tax Advisors Group, LLC",(808) 737-1040,"1144 10th Ave suite 203, Honolulu, HI 96816",NaN,NaN
87,"Smart Tax & Business Solutions, Inc.",(808) 354-0208,"500 Ala Moana Blvd Building 7, Suite 400, Honolulu, HI 96813",smarttaxhawaii.com,NaN
88,Tax Assistance Group - Honolulu,(808) 215-0396,"500 Ala Moana Blvd Suite 400, Honolulu, HI 96813",taxassistancegroup.org,NaN
89,"Scott S. Hirai, CPA, LLC",(808) 447-9825,"1314 S King St STE 314, Honolulu, HI 96814",sshcpa.com,NaN
90,"MC Group Hawaii, Inc.",(808) 988-5757,"2733 E Manoa Rd #200, Honolulu, HI 96822",mcghawaii.com,general@mcghawaii.com
91,Local Kine Tax Service,(808) 933-4800,"6 Kamehameha Ave, Hilo, HI 96720",NaN,NaN
92,"Ohana Tax Service, Inc.",(808) 625-5900,"94-780 Meheula Pkwy, Mililani, HI 96789",ohanataxservice.com,NaN
93,B&Y CPA LLC,(808) 367-6288,"1314 S King St Ste1554, Honolulu, HI 96814",alohacpa.net,NaN
94,Aloha Tax Service,(808) 947-2148,"438 Hobron Ln # 309, Honolulu, HI 96815",NaN,NaN
95,Advantage Income Tax Services Inc,(808) 677-8384,"94-615 Kupuohi St #105, Waipahu, HI 96797",NaN,NaN
96,KMH LLP,(808) 526-2255,"1003 Bishop St, Honolulu, HI 96813",kmhllp.com,info@kmhllp.com
97,"Asia Pacific Accounting Group, LLC",(808) 843-8700,"401 Kamakee St #316, Honolulu, HI 96814",apagllc.com,NaN
98,Tuttle Financial Services Inc,(808) 329-5567,"75-5995 Kuakini Hwy # 421, Kailua-Kona, HI 96740",tuttlefinancial.com,johntuttle@tuttlefinancial.com
99,Yokota & Li CPAs,(808) 537-1373,"50 S Beretania St. Suite C-207, Honolulu, HI 96813",yandlcpas.com,NaN
100,Oshiro Clyde T CPA,(808) 935-0885,"319 Kinoole St, Hilo, HI 96720",NaN,NaN
101,"Tudor Wilson & Associates CPAs, LLC",(808) 592-2000,"1150 S King St Ste 203, Honolulu, HI 96814",mypersonalcpas.com,NaN
102,"Just Accounting, Inc.",(808) 498-4490,"100 Pauahi St #207, Hilo, HI 96720",justaccountinginc.com,jocelyn@justaccountinginc.com
103,Tax Resolution Services of Hawaii,(808) 800-4805,"1001 Bishop St suite 960, Honolulu, HI 96813",taxreshawaii.com,NaN
104,Chee & Yamasaki Cpa's,(808) 521-4974,"715 S King St # 400, Honolulu, HI 96813",splinternetmarketing.com,NaN
105,HiAccounting (A Division of The Hawaii Group),(808) 529-9990,"700 Bishop St Suite 600, Honolulu, HI 96813",hi-accounting.com,NaN
106,"Burrill CPA, Tax & Accounting",(808) 464-6277,"75-1000 Henry St #203, Kailua-Kona, HI 96740",burrillcpa.com,NaN
107,Certified Tax Hawaii,(808) 842-0003,"1405 N King St # 103, Honolulu, HI 96817",NaN,NaN
108,E.A. Buck Accounting & Tax Services,(808) 395-5492,"55 Merchant St STE 2100, Honolulu, HI 96813",eabucktaxes.com,NaN
109,Professional Tax Services,(808) 591-6201,"860 Halekauwila St, Honolulu, HI 96813",NaN,NaN
110,"Kule'a Tax & Financial Resources, LLC",(808) 315-2144,NaN,kuleahawaii.com,NaN
111,Tax & Immigrations Services LLC,(808) 523-8858,"111 N King St STE 305, Honolulu, HI 96817",irs.gov,NaN
112,"Michael J. Yuda, CPA, LLC",(808) 838-9008,"1551 Ala Wai Blvd #1804, Honolulu, HI 96815",yuda.com,mike@yuda.com
113,Excel Tax Services,(808) 847-2155,"594 N King St, Honolulu, HI 96817",NaN,NaN
114,Tax Associates,(808) 331-8555,"75-5656 Kuakini Hwy #302, Kailua-Kona, HI 96740",taxassociateshawaii.com,NaN
115,Personal Accountant Inc DBA LSM Accounting Solutions,(808) 674-0700,"1001 Kamokila Blvd #100, Kapolei, HI 96707",personalaccountant.net,NaN
116,OCCPA LLC fka Oshima Company CPA,(808) 521-6481,"841 Bishop St # 208, Honolulu, HI 96813",oshimacpa.com,NaN
117,Oshiro & Chun Inc,(808) 486-8100,"98-200 Kamehameha Hwy Ste 402, Aiea, HI 96701",cpahawaii.com,NaN
118,John O'Farrell & Associates,(808) 593-8355,"1314 S King St, Honolulu, HI 96814",ofarrellcpa.com,jof@ofarrellcpa.com
119,H&R Block,(808) 242-1553,"2070 W Vineyard St, Wailuku, HI 96793",hrblock.com,NaN
