,Name of company,Phone Number,Location,Website Link,Email
0,"Smart Tax & Business Solutions, Inc.",(808) 354-0208,"500 Ala Moana Blvd Building 7, Suite 400, Honolulu, HI 96813",smarttaxhawaii.com,NaN
1,Tax Services of Hawaii Inc,(808) 529-1040,"841 Bishop St #2105, Honolulu, HI 96813",taxservicesofhawaii.com,support@myhawaiitax.com
2,Diamond Head Tax Group Individual and Business Tax Advisory Honolulu,(808) 824-3588,"1441 Kapiolani Blvd Suite 912, Honolulu, HI 96814",diamondheadtaxgroup.com,NaN
3,H&R Block,(808) 487-0911,"4510 Salt Lake Blvd Ste A-8, Honolulu, HI 96818",hrblock.com,NaN
4,E.A. Buck Accounting & Tax Services,(808) 395-5492,"55 Merchant St STE 2100, Honolulu, HI 96813",eabucktaxes.com,NaN
5,Certified Tax Hawaii,(808) 842-0003,"1405 N King St # 103, Honolulu, HI 96817",NaN,NaN
6,"Jung Hoon Ji, CPA",(808) 909-3338,"1441 Kapiolani Blvd SUITE 716, Honolulu, HI 96814",junghoonjicpa.com,NaN
7,"Accurate Affordable Accounting and Tax Service, Inc.",(808) 396-6507,"377 Keahole St # E203, Honolulu, HI 96825",lookintohawaii.com,NaN
8,Hawaii Tax Services LLC,(808) 388-4073,"650 Iwilei Rd Suite 201-B, Honolulu, HI 96817",business.site,NaN
9,Tax Relief Services,(808) 589-2322,"1259 S Beretania St. # 2, Honolulu, HI 96814",taxreliefservices.com,irstaxrelief@msn.com
10,H&R Block,(808) 946-4815,"2600 S King St Ste 105, Honolulu, HI 96826",hrblock.com,NaN
11,E.A. Buck Accounting & Tax Services,(808) 395-5492,"850 W Hind Dr #102, Honolulu, HI 96821",eabucktaxes.com,NaN
12,HiAccounting (A Division of The Hawaii Group),(808) 529-9990,"700 Bishop St Suite 600, Honolulu, HI 96813",hi-accounting.com,NaN
13,Manoa Tax Services (Best Tax Service),(808) 234-4824,"438 Hobron Ln, Honolulu, HI 96815",manoatax.business.site,NaN
14,Pacific Financial Navigators LLC,(808) 942-8817,"1585 Kapiolani Blvd # 1604, Honolulu, HI 96814",pfnhawaii.com,NaN
